,prices,market_caps,total_volumes
0,"[1619740800000, 23.327418267811513]","[1619740800000, 0.0]","[1619740800000, 16576656.85415079]"
1,"[1619827200000, 23.327418267811513]","[1619827200000, 0.0]","[1619827200000, 16576656.85415079]"
2,"[1619913600000, 18.915452769785436]","[1619913600000, 0.0]","[1619913600000, 31537632.939870752]"
3,"[1620000000000, 21.309982603593916]","[1620000000000, 0.0]","[1620000000000, 1009195.8446439038]"
4,"[1620086400000, 17.993651917843852]","[1620086400000, 0.0]","[1620086400000, 699889.2299604575]"
5,"[1620172800000, 17.163757989667264]","[1620172800000, 0.0]","[1620172800000, 589831.3806043881]"
6,"[1620259200000, 20.37417305592226]","[1620259200000, 0.0]","[1620259200000, 643686.6350806553]"
7,"[1620345600000, 20.35803408278151]","[1620345600000, 0.0]","[1620345600000, 317173.6974546396]"
8,"[1620432000000, 22.69182537057885]","[1620432000000, 0.0]","[1620432000000, 759911.1074163956]"
9,"[1620518400000, 21.803820175936117]","[1620518400000, 14068430.8850876]","[1620518400000, 285023.3306484662]"
10,"[1620604800000, 21.640955761276945]","[1620604800000, 14010778.930506691]","[1620604800000, 302650.7516843505]"
11,"[1620691200000, 19.40174673710863]","[1620691200000, 12537008.249546224]","[1620691200000, 183536.9577958956]"
12,"[1620777600000, 22.528725139536558]","[1620777600000, 14552015.11636743]","[1620777600000, 482588.6901119545]"
13,"[1620864000000, 21.02484700647569]","[1620864000000, 14403363.730772784]","[1620864000000, 371049.4789011943]"
14,"[1620950400000, 24.10487648003357]","[1620950400000, 15881696.57811799]","[1620950400000, 927854.6685294351]"
15,"[1621036800000, 22.241850764342143]","[1621036800000, 15261927.64685122]","[1621036800000, 841290.4583684297]"
16,"[1621123200000, 19.998882121847544]","[1621123200000, 14273864.904853845]","[1621123200000, 232231.82092647546]"
17,"[1621209600000, 20.786192610877094]","[1621209600000, 14206773.236714827]","[1621209600000, 409694.22634507815]"
18,"[1621296000000, 18.432931335873636]","[1621296000000, 12638751.448014146]","[1621296000000, 367175.15872736933]"
19,"[1621382400000, 20.8596540859903]","[1621382400000, 16100806.234466061]","[1621382400000, 375368.71484334]"
20,"[1621468800000, 16.604396734652695]","[1621468800000, 18618011.205023]","[1621468800000, 305717.8964710538]"
21,"[1621555200000, 16.381050176148257]","[1621555200000, 18367690.02048102]","[1621555200000, 683501.0529046757]"
22,"[1621641600000, 15.431623646841393]","[1621641600000, 17162794.778437518]","[1621641600000, 508730.46921473625]"
23,"[1621728000000, 13.639668394906627]","[1621728000000, 15233418.974745734]","[1621728000000, 326436.0455776362]"
24,"[1621814400000, 11.04017821245557]","[1621814400000, 12277024.889119552]","[1621814400000, 660333.5804464903]"
25,"[1621900800000, 11.693316622453288]","[1621900800000, 13027737.66317592]","[1621900800000, 546017.7392075378]"
26,"[1621987200000, 12.907376228465163]","[1621987200000, 14437445.634376533]","[1621987200000, 404145.72451302264]"
27,"[1622073600000, 13.36197915708653]","[1622073600000, 14934207.141998274]","[1622073600000, 401884.5525737451]"
28,"[1622160000000, 13.100661715052972]","[1622160000000, 14760910.925697787]","[1622160000000, 236330.05057918688]"
29,"[1622246400000, 12.171686474644265]","[1622246400000, 13695179.360758618]","[1622246400000, 192686.85268637247]"
30,"[1622332800000, 11.459388621789437]","[1622332800000, 12894894.11600129]","[1622332800000, 193021.04160964955]"
31,"[1622419200000, 11.908383225202643]","[1622419200000, 13290418.290063445]","[1622419200000, 59237.908879084134]"
32,"[1622505600000, 12.128850954564564]","[1622505600000, 13619860.120204553]","[1622505600000, 127284.80980305893]"
33,"[1622592000000, 11.663660790265302]","[1622592000000, 13149744.527495706]","[1622592000000, 120034.2194339969]"
34,"[1622678400000, 10.399207589605702]","[1622678400000, 11767177.8356707]","[1622678400000, 571507.5711063057]"
35,"[1622764800000, 10.538292890508032]","[1622764800000, 12057094.018098675]","[1622764800000, 239941.3366270984]"
36,"[1622851200000, 10.76753851650889]","[1622851200000, 12162919.918682568]","[1622851200000, 154881.72785629722]"
37,"[1622937600000, 11.388928540158428]","[1622937600000, 12828947.699364757]","[1622937600000, 106204.59069591985]"
38,"[1623024000000, 11.211862273587796]","[1623024000000, 12661522.095038095]","[1623024000000, 52049.91259377696]"
39,"[1623110400000, 11.242131744742336]","[1623110400000, 12758566.731028192]","[1623110400000, 371379.9075919078]"
40,"[1623196800000, 10.737047753058988]","[1623196800000, 12200178.468202457]","[1623196800000, 190901.99157647896]"
41,"[1623283200000, 10.714744510148638]","[1623283200000, 12201054.812580118]","[1623283200000, 107210.67593596478]"
42,"[1623369600000, 10.77989153707514]","[1623369600000, 12256767.356913123]","[1623369600000, 52249.05857420606]"
43,"[1623456000000, 10.399306918307495]","[1623456000000, 11767422.336880181]","[1623456000000, 83629.64594383747]"
44,"[1623542400000, 9.964542430681243]","[1623542400000, 11545300.796475023]","[1623542400000, 141828.62667454217]"
45,"[1623628800000, 11.815290874917428]","[1623628800000, 13675832.999091351]","[1623628800000, 865610.0018765877]"
46,"[1623715200000, 11.048824572695864]","[1623715200000, 12807760.767711448]","[1623715200000, 172081.12225661587]"
47,"[1623801600000, 11.225970744498925]","[1623801600000, 13003571.30116404]","[1623801600000, 22896.788254080693]"
48,"[1623888000000, 10.72198198448754]","[1623888000000, 12411601.479386287]","[1623888000000, 36390.19696135507]"
49,"[1623974400000, 10.830160056718093]","[1623974400000, 12607976.582581814]","[1623974400000, 434924.74718214985]"
50,"[1624060800000, 10.187182599472104]","[1624060800000, 11740630.309616152]","[1624060800000, 277878.03884227434]"
51,"[1624147200000, 9.818068925615407]","[1624147200000, 11433282.568524012]","[1624147200000, 21492.07176057478]"
52,"[1624233600000, 9.899542563804681]","[1624233600000, 11499509.932362115]","[1624233600000, 33694.49940899476]"
53,"[1624320000000, 8.872051767906335]","[1624320000000, 10505311.55466903]","[1624320000000, 187771.4259624838]"
54,"[1624406400000, 7.1987812965775495]","[1624406400000, 8461075.368989876]","[1624406400000, 276327.22966101597]"
55,"[1624492800000, 7.370578268875571]","[1624492800000, 8558307.688463025]","[1624492800000, 59037.076009108925]"
56,"[1624579200000, 7.0979704377040225]","[1624579200000, 8342458.15019608]","[1624579200000, 112023.7125329354]"
57,"[1624665600000, 6.978630890572968]","[1624665600000, 10993093.726907622]","[1624665600000, 82032.17013351346]"
58,"[1624752000000, 6.9968963008962435]","[1624752000000, 10976134.969636599]","[1624752000000, 21498.403367905128]"
59,"[1624838400000, 7.026831194974018]","[1624838400000, 11066575.010710936]","[1624838400000, 8250.570732012939]"
60,"[1624924800000, 6.9769312936689145]","[1624924800000, 10969649.87515799]","[1624924800000, 25543.91807752035]"
61,"[1625011200000, 6.9812234916077385]","[1625011200000, 11043720.957433963]","[1625011200000, 92783.52587924812]"
62,"[1625097600000, 6.985908869019938]","[1625097600000, 11027766.854615541]","[1625097600000, 34703.543473128324]"
63,"[1625184000000, 6.429684817612001]","[1625184000000, 10140383.763780385]","[1625184000000, 70595.17957900796]"
64,"[1625270400000, 6.602629983501371]","[1625270400000, 10395879.035519285]","[1625270400000, 77594.15752054928]"
65,"[1625356800000, 6.569603845356198]","[1625356800000, 10343236.588335447]","[1625356800000, 41676.74255164032]"
66,"[1625443200000, 6.50945093552415]","[1625443200000, 10287225.041750465]","[1625443200000, 50059.72504333787]"
67,"[1625529600000, 6.636381279480529]","[1625529600000, 10991975.256693177]","[1625529600000, 137466.1604923771]"
68,"[1625616000000, 7.010285697912847]","[1625616000000, 11825451.759765299]","[1625616000000, 126613.4377778755]"
69,"[1625702400000, 7.321961113127139]","[1625702400000, 12486186.751688533]","[1625702400000, 228558.27699544214]"
70,"[1625788800000, 7.527520536565106]","[1625788800000, 12939283.27507105]","[1625788800000, 61290.724519940675]"
71,"[1625875200000, 7.700763427870248]","[1625875200000, 13282968.459505467]","[1625875200000, 203417.6203215556]"
72,"[1625961600000, 7.395246631097656]","[1625961600000, 12805731.204535253]","[1625961600000, 68573.09155067621]"
73,"[1626048000000, 7.442523434896997]","[1626048000000, 16102633.85042743]","[1626048000000, 5050.75356132186]"
74,"[1626134400000, 7.540889110266438]","[1626134400000, 16329965.366565607]","[1626134400000, 76983.29369952496]"
75,"[1626220800000, 7.256373665622648]","[1626220800000, 15731680.657570891]","[1626220800000, 61188.684159520155]"
76,"[1626307200000, 6.910804257071342]","[1626307200000, 15002068.82877349]","[1626307200000, 85892.82638260418]"
77,"[1626393600000, 6.738496849855619]","[1626393600000, 14661572.198675228]","[1626393600000, 66760.62419496561]"
78,"[1626480000000, 6.655480619635247]","[1626480000000, 14426502.985497713]","[1626480000000, 19537.34016581649]"
79,"[1626566400000, 6.795018970463555]","[1626566400000, 14727246.506748104]","[1626566400000, 3242.7849463807024]"
80,"[1626652800000, 6.665578948061074]","[1626652800000, 14393003.224096652]","[1626652800000, 11594.728098080855]"
81,"[1626739200000, 6.402118733745939]","[1626739200000, 13955736.296511577]","[1626739200000, 109391.72602397043]"
82,"[1626825600000, 6.300694587976065]","[1626825600000, 13735288.361927869]","[1626825600000, 52922.91889840297]"
83,"[1626912000000, 5.725691740161196]","[1626912000000, 12640759.621052327]","[1626912000000, 256189.96572218853]"
84,"[1626998400000, 5.613797436772882]","[1626998400000, 12494689.696359606]","[1626998400000, 44544.19765736922]"
